1,2,3,4,5,6,7,pH
8836,8822,10030,8919,22223,13879,10683,6.42
8054,8448,9783,10078,15106,12834,10582,6.49
8487,8973,10042,10879,13852,14184,11984,7.12
8129,8018,8838,7809,17577,11069,9071,6.4
8135,8751,10651,11286,14526,13752,11729,7.02
7830,8119,9912,8603,22292,12535,9873,6.49
8319,8779,10247,10270,15689,13597,11289,7.12
8064,8301,9492,8709,18034,12078,9652,5.62
31937,33763,33897,35242,37756,30350,27237,5.53
7648,8117,9633,9808,15331,12208,10289,6.97
7751,7350,7831,6635,9734,9625,9340,7.57
7612,8013,9458,9877,12456,11360,10044,6.83
11684,11505,11588,11212,14133,13701,13364,6.64
7993,8155,9033,8562,15051,12046,9997,6.21
8501,8439,10051,8791,11930,12881,12177,6.5
7925,8361,9475,8795,19009,11876,9936,6.87
8687,8599,9799,9236,13275,12511,11101,4.85
7955,8176,9346,8390,19049,11923,9665,5.93
7612,8114,9844,9337,20318,12943,10142,4.8
8529,8831,10058,10148,15727,12916,10811,6.21
10012,9898,10544,9525,14690,13257,12507,6.61
27545,26962,24430,24614,25983,20150,17793,3.83
23351,24437,25546,25376,26536,22493,20051,7.14
8035,8598,9861,10246,15077,15307,12553,3.97
14733,15220,16808,15743,20106,18553,17227,5.96
8626,8744,10002,10048,12681,13509,12434,6.27
18656,18190,18810,17864,22063,18680,17257,7.67
11108,11675,15119,14255,17802,17487,16242,6.8
7574,7597,7843,7517,9704,8884,8143,4.09
8138,8354,8841,8946,9703,9756,9199,7.3
20124,18616,16458,15978,17804,16834,15366,3.89
10411,9998,10673,10094,13417,13640,12497,7.18
10799,10080,11436,11654,18152,16814,15401,6.89
8189,8902,10531,11371,14546,13803,11874,6.46
16884,15964,17481,16607,20514,18609,17131,5.95
11779,10779,10966,11645,20161,16347,15061,7.27
7160,7043,9182,8927,13735,13775,12176,6.98
44281,46110,46952,48683,49252,38786,32393,7.12
9449,9608,11332,11039,16615,14645,12659,7.03
7977,8264,9154,9273,16577,13509,10979,3.78
13277,14048,16209,17719,23842,23123,19474,6.95
7987,8183,9301,9621,12626,11799,10378,7.08
8585,9132,10737,11550,14637,14299,12346,6.96
8271,8413,9910,8807,23649,13772,10564,5.3
41314,43012,42130,43923,44377,34054,30611,5.13
8067,8102,8711,8510,11869,10737,9556,7.17
8083,8252,9380,9131,13760,11764,9831,7.86
39030,38276,35244,34794,33182,22913,18873,3.93
7668,7912,9155,8352,15609,10926,9138,6.47
39864,39221,37838,37337,35348,24866,20875,4.19
7958,8097,8660,8700,13178,11984,9975,4.88
38731,38414,36138,35957,35129,22331,17830,4.5
40351,40916,39565,40292,40346,28214,24157,5.97
26703,26204,25036,23936,25794,19654,17609,5.35
42033,41593,39878,39428,37293,24273,18766,5.05
7907,8109,9152,9527,11686,11403,10106,6.83
7973,8341,9320,9900,13118,11443,9618,6.85
43416,44161,43487,44204,43387,31481,26170,4.16
8028,8176,9444,9509,13601,12332,10423,7.29
8448,8872,9961,10374,13151,12538,10984,7.06
37678,37397,34854,34636,33715,21827,17720,5.82
15088,13146,11347,10670,13206,13893,13556,6.45
8079,8088,8926,8581,13614,11563,9597,6.26
32895,35181,36331,37602,39141,31998,28874,6.41
33851,32687,28643,27488,26243,18307,15612,3.68
8174,8332,9671,9088,15987,12823,10572,5.98
24031,24887,25907,26551,30802,24691,22254,6.82
7996,8569,9997,11078,14265,12940,10576,6.76
7970,8124,8397,8350,11658,11055,9691,7.99
51047,52853,52488,53702,52790,36584,29682,5.92
8192,8681,12593,11694,16720,15279,14479,7.07
8165,8634,10115,10795,13638,12971,11200,6.97
7199,7400,9226,8306,22183,12892,10148,5.15
28044,29047,29433,29985,33457,23180,20699,5.13
43527,44213,42557,42824,42039,29107,25677,5.64
8412,8897,10608,11102,15312,13815,11713,6.88
8147,8312,9203,9148,11487,11647,11168,4.29
7033,7125,7637,7417,11754,8568,7865,3.98
7363,7379,7638,7278,9399,7727,7512,3.74
30539,32188,32553,33493,36521,27194,24347,5.75
51182,50999,47608,46589,43118,23156,17722,5.81
7647,7472,7454,7079,8114,8005,7780,6.15
39976,39223,35683,34180,32302,19260,14746,6.88
45983,45150,40582,39116,36240,19342,15223,3.8
42397,42097,38527,37460,35970,21340,16140,7.79
48299,48137,45250,44669,42319,22577,17211,7
24103,22280,20582,17827,19822,15570,13335,4.83
36169,35526,32214,30591,29794,16163,12790,5.63
46145,46872,45489,46009,44835,28438,23096,6.16
51334,51347,47970,47527,44733,23508,17690,3.97
47724,47416,43897,43134,40413,20228,14994,4.78
46676,46869,43136,42643,40585,17515,13238,6.83
